x,y,z,stresses_full_xx,stresses_full_xy,stresses_full_yy,stresses_full_xz,stresses_full_yz,stresses_full_zz,stresses_full_max_shear,stresses_full_cfs_1,stresses_full_cfs_2,stresses_full_cfs_3,stresses_full_cfs_4,von_mises,aftershocksyn
335012.02908761695,3797225.878295721,-2500.0,-1048.96642916529,-1394.0780477364679,-13746.716148129479,-53.814777261137777,-507.16952312069316,-13.104117725822087,6961.1419833448626,-8355.9891091333247,4011.4204186498487,-4011.4204186498487,8355.9891091333247,13493.320225338397,0.0
340012.02908761695,3797225.878295721,-2500.0,-861.99063940389215,-500.66466636167968,-13849.442882288557,-17.520966520859794,-510.62753626139448,-13.164067178615845,6946.5928310538457,-7680.4414084186674,4046.4877924414313,-4046.4877924414313,7680.4414084186674,13489.019779056989,0.0
345012.02908761695,3797225.878295721,-2500.0,-773.51179858796047,426.35609186211269,-13620.357005931381,19.867574096342747,-502.77364023847969,-12.969278606785148,6829.3280678862648,-6786.7714338569695,3893.9811188065819,-3893.9811188065819,6786.7714338569695,13292.678264616361,0.0
350012.02908761695,3797225.878295721,-2500.0,-790.55812034834537,1330.9707855212112,-13053.377238200554,56.331054816114957,-483.43778736457466,-12.51750358273739,6609.7855561057631,-5718.1541454356484,3555.2674351515629,-3555.2674351515629,5718.1541454356484,12905.353804136335,0.0
355012.02908761695,3797225.878295721,-2500.0,-907.92541469235493,2156.3990586229579,-12166.871620150358,89.836046657436583,-453.23783166570195,-11.822715124607027,6293.9780352744783,-4533.0533148058194,3048.9208343317941,-3048.9208343317941,4533.0533148058194,12338.828860011563,0.0
360012.02908761695,3797225.878295721,-2500.0,-1108.411020753472,2851.6549352917418,-11002.847000564794,118.55309568499996,-413.5500100713561,-10.914220009532185,5893.2817672252813,-3299.2125129141809,2409.2809937810694,-2409.2809937810694,3299.2125129141809,11615.270869469106,0.0
365012.02908761695,3797225.878295721,-2500.0,-1365.0815701932393,3377.4642723837983,-9622.8610552675837,141.05201713602946,-366.37966964742617,-9.8345332918970296,5423.7340300137321,-2086.1753702620285,1682.5301052995214,-1682.5301052995214,2086.1753702620285,10765.831675675165,0.0
370012.02908761695,3797225.878295721,-2500.0,-1645.1551753941662,3710.4330553484169,-8101.3080737338405,156.44106230783441,-314.15265408407731,-8.6349007111241534,4926.0525507383263,-957.67194451328601,920.98065250860986,-920.98065250860986,957.67194451328601,9828.386003488773,0.0
375012.02908761695,3797225.878295721,-2500.0,-1914.6887901595417,3844.7371092756025,-6517.2984416122017,164.42726776334877,-259.46307573386713,-7.3702746770238319,4486.6918375036412,34.755189385546046,176.6838542006239,-176.6838542006239,-34.755189385546046,8844.7501203473694,0.0
380012.02908761695,3797225.878295721,-2500.0,-2143.1102261823075,3791.2013991226936,-4946.5804460090612,165.29358100469793,-204.82050278925109,-6.0945285016572903,4046.9272362974634,855.87488853966738,-504.43573544817559,504.43573544817559,-855.87488853966738,7857.7850313126564,0.0
385012.02908761695,3797225.878295721,-2500.0,-2306.7477828868482,3574.1952872700099,-3454.8228203045464,159.80471957829837,-152.43587115495293,-4.8560359249342433,3624.059687513789,1488.1875070025119,-1086.9256073055701,1086.9256073055701,-1488.1875070025119,6908.7238289042907,0.0
320012.02908761695,3802225.878295721,-2500.0,-2393.0602678959012,-4140.9385622794753,-13232.00061100846,-175.2320765662389,-513.68028683290595,-14.097191747275692,7329.5463478071433,-10224.364939125811,3273.2022638308604,-3273.2022638308604,10224.364939125811,14186.379722219799,0.0
325012.02908761695,3802225.878295721,-2500.0,-1959.1022201521807,-3535.6589989230515,-14341.174030492051,-147.50576726345943,-553.31899477621369,-15.01589087446496,7653.7648681282653,-10360.939248018918,3867.666700080053,-3867.666700080053,10360.939248018918,14820.708611965209,0.0
330012.02908761695,3802225.878295721,-2500.0,-1550.8998630113483,-2739.5421395394746,-15214.771842619188,-112.57514488554774,-584.28973174984583,-15.719402862712876,7886.4064585234282,-10207.401387619153,4335.8966312251696,-4335.8966312251696,10207.401387619153,15284.376407232359,0.0
335012.02908761695,3802225.878295721,-2500.0,-1207.0115665658764,-1780.3421330641017,-15775.68384213569,-71.613104271502564,-603.99257081549536,-16.151959821714261,8010.0959432492155,-9741.0376168376933,4628.2366967419885,-4628.2366967419885,9741.0376168376933,15544.525162641723,0.0
340012.02908761695,3802225.878295721,-2500.0,-962.37037725112407,-705.2866402570869,-15959.697200530734,-26.472881050004897,-610.29801397648043,-16.269283280604906,8011.5865798549421,-8962.9415915106474,4704.9430071238839,-4704.9430071238839,8962.9415915106474,15576.125564821048,0.0
345012.02908761695,3802225.878295721,-2500.0,-842.52715823625999,421.74537681007723,-15725.01056452794,20.426432806257548,-601.85068931041405,-16.044198860101758,7883.4939943620211,-7901.4586394766156,4543.1339998261956,-4543.1339998261956,7901.4586394766156,15365.319303936005,0.0
350012.02908761695,3802225.878295721,-2500.0,-858.70468121927547,1526.3192048885264,-15059.932626268945,66.32071059931441,-578.3080723470772,-15.47171809938863,7625.591893162984,-6611.7887932033154,4142.0444237919764,-4142.0444237919764,6611.7887932033154,14911.952502359301,0.0
355012.02908761695,3802225.878295721,-2500.0,-1004.9358373571832,2532.0842562450639,-13986.928972323934,108.40038632649775,-540.45966099707039,-14.570583984144188,7245.4110653312264,-5171.2180951475884,3525.150230613167,-3525.150230613167,5171.2180951475884,14230.803839584945,0.0
360012.02908761695,3802225.878295721,-2500.0,-1258.1919500046783,3370.4625435237522,-12561.778090274305,144.13954756181766,-490.19167851040282,-13.382414850750353,6757.9951317009882,-3670.4625331655452,2738.3166932642598,-2738.3166932642598,3670.4625331655452,13351.204730757192,0.0
365012.02908761695,3802225.878295721,-2500.0,-1581.6878287659033,3989.4324685804249,-10867.637307635723,171.59214851011191,-430.29394516308508,-11.967749317595617,6185.0497079543247,-2202.6449632481322,1844.0646960399329,-1844.0646960399329,2202.6449632481322,12315.020288403277,0.0
370012.02908761695,3802225.878295721,-2500.0,-1930.7024074549222,4359.5964442399654,-9005.0524216818867,189.5986056252097,-364.14126935147607,-10.399566910748769,5622.3938647883297,-852.07456772043554,913.0596556791985,-913.0596556791985,852.07456772043554,11173.306068765314,0.0
375012.02908761695,3802225.878295721,-2500.0,-2259.5803688367928,4476.3673893545692,-7079.9032615876804,197.86684130231737,-295.31034365622031,-8.7555053571858963,5090.8396088711779,314.94842453039047,14.641002532625578,-14.641002532625578,-314.94842453039047,9982.1892110269637,0.0
380012.02908761695,3802225.878295721,-2500.0,-2528.3440592198226,4358.1300913562818,-5191.6459510585764,196.92201401732532,-227.20219953082537,-7.1106343469546411,4562.7584544517358,1255.7155917412065,-791.65011979526446,791.65011979526446,-1255.7155917412065,8798.6187402786891,0.0
