x,y,z,stresses_full_xx,stresses_full_xy,stresses_full_yy,stresses_full_xz,stresses_full_yz,stresses_full_zz,stresses_full_max_shear,stresses_full_cfs_1,stresses_full_cfs_2,stresses_full_cfs_3,stresses_full_cfs_4,von_mises,aftershocksyn
709640.0783812654,3920767.5119837918,-2500.0,-0.27505461116037488,-0.3171360185038905,-2.4416891831066319,-0.014121453721137248,-0.11583481714190537,-0.0038578696748215267,1.247130694484305,-1.2497970064931443,-0.50736134700781266,0.50736134700781266,1.2497970064931443,2.3870514029858856,0.0
714640.0783812654,3920767.5119837918,-2500.0,-0.20208678348505618,-0.1315368276382376,-2.4081974690300991,-0.0038860715917580823,-0.1150600258568673,-0.0038557194181243642,1.2115790754820408,-1.1273589955056647,-0.65697675691531576,0.65697675691531576,1.1273589955056647,2.3313530673549518,0.0
719640.0783812654,3920767.5119837918,-2500.0,-0.14803341942204315,0.065886461109227024,-2.2899429673457772,0.0069200045483303121,-0.11045694894668275,-0.0037397474897518657,1.1494909762235708,-0.95689970527129931,-0.794641621917483,0.794641621917483,0.95689970527129931,2.2287732316762239,0.0
724640.0783812654,3920767.5119837918,-2500.0,-0.11728462646157088,0.26014127975166285,-2.0827909822863035,0.017543524278516916,-0.10181516640018967,-0.0035027163165973893,1.0617050092839102,-0.7454361204880986,-0.90592716515811178,0.90592716515811178,0.7454361204880986,2.0820286721809595,0.0
729640.0783812654,3920767.5119837918,-2500.0,-0.11091563371814474,0.4345773655413841,-1.7904675993348966,0.027152263952868575,-0.089273219861567124,-0.0031473348386693496,0.9525853206318653,-0.50501585269761562,-0.97672620478801431,0.97672620478801431,0.50501585269761562,1.899000945037677,0.0
734640.0783812654,3920767.5119837918,-2500.0,-0.12612181898905611,0.5731738786026227,-1.4251938451339174,0.034944315204662152,-0.073348953842113068,-0.0026872917299058299,0.86851824931136179,-0.25163497771670607,-0.9954720695185878,0.9954720695185878,0.25163497771670607,1.6936832528475538,0.0
739640.0783812654,3920767.5119837918,-2500.0,-0.15644321456375462,0.66301399878604939,-1.0069000926368803,0.040266130966608395,-0.054907626577002287,-0.0021464932606925476,0.78951775532984281,-0.003290652460430199,-0.9552284228827852,0.9552284228827852,0.003290652460430199,1.4869359103875004,0.0
744640.0783812654,3920767.5119837918,-2500.0,-0.19281101330559081,0.69637503102128961,-0.56102067189470106,0.042712959277236048,-0.035067305528081343,-0.0015565533401874557,0.72184609646980336,0.22247468840449269,-0.85512548062318772,0.85512548062318772,-0.22247468840449269,1.3063518861523626,0.0
749640.0783812654,3920767.5119837918,-2500.0,-0.22519517370029069,0.67191367081287334,-0.11525935673420824,0.042187428281752155,-0.015058069770486644,-0.00095288732051997832,0.6754680509476243,0.411002659096533,-0.7007430651464468,0.7007430651464468,-0.411002659096533,1.1824304396824949,0.0
754640.0783812654,3920767.5119837918,-2500.0,-0.24443919991646104,0.59466014692344571,0.30398887065177466,0.038902730247921367,0.0039354950177945972,-0.00037026286257027139,0.65601975316028727,0.55237551673814578,-0.50331566801548189,0.50331566801548189,-0.55237551673814578,1.1366343040002282,0.0
